id1,id2,id3,inv_0,inv_1,inv_2,inv_3,inv_4,inv_5,inv_6
02-1-143638,02-1-143604,02-1-143624,-171.7426926880301,-81.34216966555952,-56.376803074917035,-46.743299084863224,-19.180966619700612,-2.075371632296502,-1.1842881907083687
02-1-143604,02-1-143624,02-1-144402,-136.16082219349028,-132.5364279686467,-61.010766494912716,-9.550922737797293,-2.075371632296502,-2.04336724565092,-1.1842881907083687
02-1-143604,02-1-143624,02-1-144404,-178.7000245433738,-123.2039885035772,-71.64275688192603,-18.452920530283095,-8.669033435328174,-2.075371632296502,-1.1842881907083687
02-2-001341,02-1-143604,02-1-143624,-165.39865943506248,-57.83458451478435,-56.001359890833896,-38.95972456865394,-24.940187447235317,-2.075371632296502,-1.1842881907083687
02-1-143604,02-1-143636,02-1-143625,-175.70729305169692,-56.58201386387816,-29.901054741463064,-20.99347910340965,-13.67289454906264,-13.275568997322004,-9.74647598176455
02-1-143638,02-1-143604,02-1-143625,-299.0507919125644,-81.34216966555952,-56.58201386387816,-46.743299084863224,-29.901054741463064,-9.279266114751834,-4.596999738717216
02-1-143625,02-1-143604,02-1-144402,-451.5177204010516,-132.5364279686467,-106.40390185667968,-61.010766494912716,-60.284012242845904,-56.58201386387816,-29.901054741463064
02-1-143625,02-1-143604,02-1-144404,-395.9001042553715,-123.2039885035772,-71.64275688192603,-56.58201386387816,-31.25795563014981,-29.901054741463064,-15.953154515045895
02-2-001341,02-1-143604,02-1-143625,-288.1665092070391,-57.83458451478435,-56.58201386387816,-38.95972456865394,-29.901054741463064,-24.191193252073447,-21.410470420102826
02-1-143638,02-1-143604,02-1-143636,-250.42291049221274,-81.34216966555952,-46.743299084863224,-28.626759912320153,-28.139349089030276,-20.99347910340965,-9.74647598176455
02-1-143636,02-1-143604,02-1-144402,-392.8864845819178,-132.5364279686467,-103.10779578920409,-80.16826056370229,-61.010766494912716,-20.99347910340965,-9.74647598176455
02-1-143636,02-1-143604,02-1-144404,-385.0846820193289,-123.2039885035772,-71.64275688192603,-58.02079776394375,-56.95084300744182,-20.99347910340965,-9.74647598176455
02-2-001341,02-1-143604,02-1-143636,-233.08427599554318,-57.83458451478435,-41.70969642144513,-38.95972456865394,-34.28419548480494,-20.99347910340965,-9.74647598176455
02-1-143638,02-1-143604,02-1-144402,-727.0345681636611,-220.23627828312067,-183.9505877194316,-132.5364279686467,-81.34216966555952,-61.010766494912716,-46.743299084863224
02-1-143638,02-1-143604,02-1-144404,-570.4643209003198,-123.2039885035772,-88.7194237175787,-81.34216966555952,-79.78530569869508,-71.64275688192603,-46.743299084863224
02-2-001341,02-1-143604,02-1-143638,-292.4108586602021,-81.34216966555952,-57.83458451478435,-46.743299084863224,-38.95972456865394,-4.283857489745287,-2.0274693104426404
02-1-143604,02-1-144402,02-1-144404,-571.7612591457581,-132.5364279686467,-123.2039885035772,-71.64275688192603,-61.010766494912716,-22.322739097080785,-19.670000377439067
02-2-001341,02-1-143604,02-1-144404,-596.7126413758442,-150.90533042162951,-123.2039885035772,-94.46425005602919,-71.64275688192603,-57.83458451478435,-38.95972456865394
02-1-143608,02-1-143611,02-1-143614,-246.36308155148276,-53.47223769004225,-50.14078858725317,-42.948025015342125,-31.673352101098317,-17.489652982704058,-11.98120084718721
02-1-143608,02-1-143611,02-1-143616,-807.0107419910196,-228.15863413984212,-174.1316477805791,-167.93631384035254,-146.0644747728869,-17.489652982704058,-11.98120084718721
02-1-143619,02-1-143608,02-1-143611,-161.6319542093633,-49.92875995942228,-28.06549428586291,-21.18661481088106,-17.489652982704058,-13.420495582979974,-11.98120084718721
02-1-143608,02-1-143611,02-1-144459,-725.9594607284984,-178.56091298559969,-172.8335106833959,-169.65831855236422,-165.91904621028968,-17.489652982704058,-11.98120084718721
02-1-143608,02-1-143611,02-1-144464,-881.1224628835735,-265.2500199609552,-211.85865801069895,-185.90097745113042,-183.3306942064993,-17.489652982704058,-11.98120084718721
02-1-143608,02-1-143611,02-1-144466,-484.19314750275896,-126.94437139580924,-117.6852079680191,-112.95927053190066,-102.29803248109883,-17.489652982704058,-11.98120084718721
02-1-143611,02-1-143608,02-1-144467,-744.4375532537858,-172.55728888761956,-161.76179489058507,-147.02186165794996,-111.91120739806568,-17.489652982704058,-11.98120084718721
02-1-143608,02-1-143614,02-1-143616,-459.39185796088316,-167.93631384035254,-146.0644747728869,-53.47223769004225,-47.82543096699747,-42.948025015342125,-40.592032977285896
02-1-143619,02-1-143608,02-1-143614,-111.64934423066346,-53.47223769004225,-42.948025015342125,-28.06549428586291,-13.420495582979974,-8.564379844185467,-2.8205290355897574
02-1-143614,02-1-143608,02-1-144459,-492.6854641675156,-178.56091298559969,-165.91904621028968,-53.47223769004225,-42.948025015342125,-39.7041519103316,-30.73818326494849
02-1-143614,02-1-143608,02-1-144464,-683.1491032820564,-265.2500199609552,-211.85865801069895,-57.222516738817745,-54.49810828344545,-53.47223769004225,-42.948025015342125
